lineId,dialogueLineType,toLine,personName,content,eventFore,eventForeArgs,eventMain,eventMainArgs,eventAfter,eventAfterArgs
X059,MindLine,X060,脑海中的声音,当然，你只是在“想着”\n和这位朋友对话而已，\n你很聪明，\n不是所有的交流都需要宣之于口。\n看起来你们进行得很顺利，只是，,,,,,,
X060,MindLine,X061,脑海中的声音,对于这位客人来说，\n你走神的时间有点太长了？\n他穿着看起来像是制服的套装，\n一丝多余的褶皱也没有。,,,,,,
X061,MindLine,X062,脑海中的声音,也许他刚刚下班，或是正要上班。\n你读不出更多可以作为线索的情绪。\n至于你走神的状况，他耐心地等着，甚至有些……超出通常范围的尊重？,,,,,,
X062,MindLine,X063,脑海中的声音,“好吧，总而言之呢——\n如果你需要帮助的话，\n失忆前的你还算是写了本配方的。\n不过那种东西应该叫谜语而不是调制指南吧……应该就放在店里来着？”,,,,,,
X063,MindChooseLine,,,,,,,,,
X064,ChoiceLine,X065,（脑海选项）,为什么不写得简单点？,,,,,,
X065,MindLine,X066,脑海中的声音,“据某个阴沉的家伙说，\n是为了防盗哦。”,,,,,,
X066,MindLine,X067,脑海中的声音,“好啦快点上酒吧，传奇调酒师！”\n他甚至吹了一声口哨来为你开场。,,,,,,
X067,GameLine,X068,调酒流程,调酒流程,,,,,,
X068,NarrationLine,X069,警员,谢谢。,Style,Utopia,HumanLoad,"0,Utopia_Police",,
X069,ControlLine,X070,,"正确的酒->1070, 其他的酒->1080",,,,,,
X070,MindLine,X071,脑海中的声音,他看起来松了一口气？,,,,,,
X071,MindChooseLine,,,,,,,,,
X072,ChoiceLine,X079,（脑海选项1）,只是下班后来一杯？,,,,,,
X073,ChoiceLine,X074,（脑海选项2）,这是某种测试吗？,,,,,,
X074,MindLine,X075,脑海中的声音,为了确认你有没有失忆。\n假设是这样，那么他知道你失忆的可能性或是传闻。,,,,,,
X075,MindLine,X076,脑海中的声音,但是，有这种必要吗？\n调酒师失忆，\n这能造成什么了不得的事呢？,,,,,,
X076,MindChooseLine,,,,,,,,,
X077,ChoiceLine,X079,（脑海选项）,点单时不能再说“给我来一杯老样子”了？,,,,,,
X078,ChoiceLine,X079,（脑海选项）,独家秘方失传？,,,,,,
X079,MindLine,X094,脑海中的声音,“你会知道的。”\n你的脑中朋友轻轻地笑了。\n不安的预感一闪而过。,,,,,,
X080,MindLine,X081,脑海中的声音,他看起来有些失望？,,,,,,
X081,MindChooseLine,,,,,,,,,
X082,ChoiceLine,X083,（脑海选项）,看来我搞砸了。,,,,,,
X083,MindLine,X084,脑海中的声音,这失望不是“看看你都做了什么”，\n而是“原来如此”,,,,,,
X084,MindChooseLine,,,,,,,,,
X085,ChoiceLine,X094,（脑海选项）,……所以我不是那种喜欢即兴发挥的有趣调酒师。,,,,,,
X086,ChoiceLine,X094,（脑海选项）,也许他在确认某件事。,,,,,,
X087,MindLine,X088,脑海中的声音,他看起来有些意外？,,,,,,
X088,MindChooseLine,,,,,,,,,
X089,ChoiceLine,X090,（脑海选项）,……可能我不是那种喜欢即兴发挥的有趣调酒师？,,,,,,
X090,NarrationLine,X091,警员,也对，偶尔也会有这样的情况。,,,,,,
X091,NarrationLine,X092,警员,如果你能在别的事上也给我一些意外的惊喜就好了。,,,,,,
X092,NarrationLine,X093,,短暂的惊讶过后，他看起来松了一口气？\n然后露出了一种“万事拜托了”的神情。,,,,,,
X093,MindLine,X094,脑海中的声音,那么他有“别的事”要拜托你？\n现在你更搞不清状况了。,,,,,,
X094,MindLine,X095,脑海中的声音,他沉默地、缓慢地品尝着。\n店里没有其他的客人。\n你们相顾无言。,,,,,,
X095,MindLine,X096,脑海中的声音,或许，你应该聊点什么？\n毕竟他先向你打招呼了。\n你们可能认识了不短的时间。\n熟客和调酒师之间\n应该聊点什么才好？,,,,,,
X096,MindLine,X097,脑海中的声音,“你一向不擅长在喝酒时聊天呢。”你幻想的朋友轻轻地说道，\n好像很怀念似的。,,,,,,
X097,MindLine,X098,脑海中的声音,忘掉吧，忘掉吧，你不能想起来。,,,,,BlackOn,
X098,ControlLine,X099,,,,,,,BlackOff,
X099,ChooseLine,,,,,,,,,
X100,ChoiceLine,X102,选项1,“你能看见‘新月’吗？”,,,,,,
X101,ChoiceLine,X040,选项2,“你喜欢这款酒。”,,,,,,
X102,NarrationLine,X103,,你轻声说道，鬼使神差一般。\n没人知道你问的是杯中酒、天上月，还是更加晦涩的、其隐喻的事物。,,,,,,
X103,MindLine,X104,脑海中的声音,他笑着摇了摇头。,,,,,,
X104,NarrationLine,X105,警员,您能让它隐形，而我只是个普通人，只能赞美和品尝。\n假设一个魔术师的能力刚好是看穿另一个魔术师的把戏，\n那不就和两个普通人没有两样了吗？,,,,,,
X105,MindLine,X106,脑海中的声音,他不知道，这魔术并非来源于你，\n而是这间酒馆。,,,,,,
X106,NarrationLine,X107,警员,您告诉我它在杯子里，我就会端起来喝下它。规则就是这样。\n老板，有时候我忍不住想，失明的人是不是也必须像这样信任他人？,,,,,,
X107,MindLine,X108,脑海中的声音,他显然在暗示些什么，但很遗憾，\n你不知道。,,,,,,
X108,ChooseLine,,,,,,,,,
X109,ChoiceLine,X111,选项1a,（保持沉默）,,,,,,
X110,ChoiceLine,X112,选项1b,“假如我给你下毒呢？”,,,,,,
X111,NarrationLine,X113,1a,你报以一个公式化的微笑，保持了适度的神秘感。,,,,,,
X112,NarrationLine,X113,1b,他愣了一下，还是毫无芥蒂地继续喝下一口酒，至少他表现得很镇定。,,,,,,
X113,MindLine,X114,脑海中的声音,你幻想中的朋友笑了，\n但他还是批评道：\n“噢，糟糕的笑话。”,,,,,,
X114,NarrationLine,X115,警员,……那我也只有喝下去才会知道了。,,,,,BlackOn,
X115,ControlLine,X116,,黑屏衔接，还是乌托邦背景,,,,,HumanChange,"0,Utopia_Beggar"
X116,NarrationLine,X117,乞丐,多谢你的好意……但我连赊账都快还不清了。,BlackOff,,,,,
X117,NarrationLine,X118,乞丐,称得上有价值的就只有这个了。,,,,,,
X118,ControlLine,X119,,获得收藏品木剑,CGLoad,"part,Sprites/Collections/COLLECTION_EXAMPLE",,,,
X119,NarrationLine,X120,,一柄木刻的剑，不仅粗糙，还残破不堪，像是经历了激烈的打斗。,,,,,CGUnload,part
X120,ChooseLine,,,,,,,,,
X121,ChoiceLine,X123,选项1,这是从哪来的？,,,,,,
X122,ChoiceLine,X123,选项2,有什么特别之处吗？,,,,,,
X123,NarrationLine,X124,乞丐,我从梦中带出了它。,,,,,,
X124,NarrationLine,X125,,可以想到，此刻你脸上有被戏弄了的不满。,,,,,,
X125,NarrationLine,X126,乞丐,我保持着强烈的、清醒的渴望，事情就这样发生了，\n我从我的梦中带出了它，一个纪念物。虽然和本来的样子有些出入。\n我再也没有回去过那个世界。,,,,,,
X126,MindLine,X127,想法,你不确定是否该收下，\n如果这是真的，\n永夜会对它感兴趣的。\n引起永夜的关注从来不是好事。,,,,,,
X127,MindLine,X128,想法,即使是梦主也无法模糊部分的现实。\n他是特殊的。,,,,,,
X128,MindLine,X129,想法,创造了一个梦中世界的人如何能抵抗成为造物主的诱惑？,,,,,,
X129,NarrationLine,X130,乞丐,我是如此害怕在现实日复一日的磨灭中终有一天将这个花园忘记。\n因此我决定——\n趁我的心还年轻的时候失去它，以此永远地保留我这五百年的回忆。,,,,,,
X130,ControlLine,X131,,百叶窗关闭，黑屏渐入梦中,,,,,BlackOn,
X131,TitleLine,X132,,梦中\n骑士授勋,CGLoad,"full,Sprites/CG/Coronation",,,BlackOff,
X132,NarrationLine,X133,,她把剑抵在我的肩头，我将庄严起誓。,,,,,,
X133,NarrationLine,X134,,辉煌的殿堂里占满了人，宣称要改变西格珥德命运的人们。,,,,,,
X134,NarrationLine,X135,,此刻距离我离开偏僻的家乡，才仅仅过去了一个月。,,,,,,
X135,NarrationLine,X136,,圣钟敲响了十二遍。,,,,,,
X136,NarrationLine,X137,,“……我发誓善待弱者，我发誓勇敢地对抗暴虐。”,,,,,,
X137,NarrationLine,X138,,“我发誓抗击一切错误。”,,,,,,
X138,NarrationLine,X139,,我抬起头，殿下难得一见地穿上了正装，很适合她，却也有些滑稽。\n因其过于隆重。,,,,,,
X139,NarrationLine,X140,,然而我们两个人都不清楚此时此刻，或者所有的一切是为了什么。,,,,,,
X140,NarrationLine,X141,,我们知道了所谓命运的玩笑，只是还没有亲身体会荒谬之处。,,,,,,
X141,NarrationLine,X142,,我们只是各自走到了这里。,,,,,BlackOn,0.01
X142,ControlLine,X143,,,HumanUnload,0,CGUnload,full,,
X143,TitleLine,X144,,Day 7\n西格珥德,,,,,BlackOff,0.75
X144,NarrationLine,X145,,有什么改变了，你感觉得到。你的收藏品有些异样。,,,,,,
X145,NarrationLine,X146,,你注意到那把玩具般的断剑变回了它本来的模样。\n锈迹斑驳、伤痕累累的传说之物。,,,,,,
X146,NarrationLine,X147,洛弥瓦,开门了吗老板！,HumanLoad,"0,lomiva_appear",,,,
X147,MindLine,X148,想法,喂……现在还没过中午。,,,,,,
X148,NarrationLine,X149,洛弥瓦,给我个超大杯的【灯塔】,,,,,BlackOn,0.9
X149,ControlLine,X150,,黑屏衔接，现实背景,HumanUnload,0,HumanLoad,"0,dog_idle",Style,Modern
X150,ControlLine,X151,,,HumanLoad,"-400,dorothy_idle",HumanLoad,"400,diviner_idle",BlackOff,
X151,NarrationLine,X152,狗,就是说呀。,,,,,,
X152,NarrationLine,X153,多萝西,狗、狗说话了。,HumanChange,"1,dorothy_surprise",,,,
X153,NarrationLine,X154,占卜师,没事，这只是你压力太大产生的幻觉。,,,,,,
X154,NarrationLine,X155,狗,哈喽忍人！,HumanChange,"0,dog_tail",,,,
X155,NarrationLine,X156,多萝西,压力太大……产生的，幻觉。,,,,,,
X156,MindLine,X157,想法,她看看身边的朋友，又看看你。,,,,,,
X157,NarrationLine,X158,多萝西,……我们三个人产生的幻觉怎么会是一样的？,,,,,,
X158,MindLine,X159,想法,“Bingo！”\n你幻想中的朋友相当满意，\n终于等来了个明白事理的人。,,,,,,
X159,NarrationLine,X160,狗,那情况就比较复杂了。,HumanChange,"0,dog_beagle",,,,
X160,NarrationLine,X161,狗,比如说现实中你们吃了同一种的毒蘑菇，此刻生命危在旦夕；\n或者你们是同一名精神病患分裂出的不同人格；\n再或者这整个世界根本就是大学生创作结课作业时的幻想产物……,HumanChange,"0,dog_idle",,,,
X161,ControlLine,X162,,,HumanChange,"1,dorothy_idle",HumanChange,"2,diviner_ewu",,
X162,NarrationLine,X163,,某种不安的气氛在你们三人之间蔓延。,,,,,,
X163,NarrationLine,X164,狗,呃，我的意思是说，……汪，汪汪。,HumanChange,"0,dog_sad",,,,
X164,NarrationLine,X165,,你们都撇开头去，不再看那只诡异的狗。,,,,,,
X165,NarrationLine,X166,狗,喂！喂！我就在这里啊！,,,,,,
X166,NarrationLine,X167,狗,一旦你已经长大到不能接受一只会说话的小狗，\n你早晚会怀疑一切的真实性。\n而一只不能放弃说话的狗，将永远是流浪狗。,,,,,,
X167,ControlLine,X168,,,BlackOn,,,,,
X168,ControlLine,,,,,,,,,
