lineId,dialogueLineType,toLine,personName,content,eventFore,eventForeArgs,eventMain,eventMainArgs,eventAfter,eventAfterArgs,,
A066,ChoiceLine,A067,（脑海选项）,为什么不写得简单点？,,,,,,,,
A067,MindLine,A068,脑海中的声音,“据某个阴沉的家伙说，\n是为了防盗哦。”,,,,,,,,
A068,MindLine,A069,脑海中的声音,“好啦快点上酒吧，传奇调酒师！”\n他甚至吹了一声口哨来为你开场。,,,,,,,,
A069,GameLine,A070,,调酒流程,,,,,,,,
A070,NarrationLine,A071,警员,谢谢。,Style,Utopia,HumanLoad,"0,Utopia_Police",,,,
A071,ControlLine,,,"正确的酒->A072, 不被识别的酒->A082, 其他的酒->A089",,,,,,,,
A072,MindLine,A073,脑海中的声音,他看起来松了一口气？,,,,,,,,
A073,MindChooseLine,,,,,,,,,,,
A074,ChoiceLine,A075,（脑海选项1）,只是下班后来一杯？,,,,,,,,
A075,ChoiceLine,A076,（脑海选项2）,这是某种测试吗？,,,,,,,,
A076,MindLine,A077,脑海中的声音,为了确认你有没有失忆。\n假设是这样，那么他知道你失忆的可能性或是传闻。,,,,,,,,
A077,MindLine,A078,脑海中的声音,但是，有这种必要吗？\n调酒师失忆，\n这能造成什么了不得的事呢？,,,,,,,,
A078,MindChooseLine,,,,,,,,,,,
A079,ChoiceLine,A080,（脑海选项）,点单时不能再说“给我来一杯老样子”了？,,,,,,,,
A080,ChoiceLine,A081,（脑海选项）,独家秘方失传？,,,,,,,,
A081,MindLine,A096,脑海中的声音,“你会知道的。”\n你的脑中朋友轻轻地笑了。\n不安的预感一闪而过。,,,,,,,,
A082,MindLine,A083,脑海中的声音,他看起来有些失望？,,,,,,,,
A083,MindChooseLine,,,,,,,,,,,
A084,ChoiceLine,A085,（脑海选项）,看来我搞砸了。,,,,,,,,
A085,MindLine,A086,脑海中的声音,这失望不是“看看你都做了什么”，\n而是“原来如此”,,,,,,,,
A086,MindChooseLine,,,,,,,,,,,
A087,ChoiceLine,A088,（脑海选项）,……所以我不是那种喜欢即兴发挥的有趣调酒师。,,,,,,,,
A088,ChoiceLine,A096,（脑海选项）,也许他在确认某件事。,,,,,,,,
A089,MindLine,A090,脑海中的声音,他看起来有些意外？,,,,,,,,
A090,MindChooseLine,,,,,,,,,,,
A091,ChoiceLine,A092,（脑海选项）,……可能我不是那种喜欢即兴发挥的有趣调酒师？,,,,,,,,
A092,NarrationLine,A093,警员,也对，偶尔也会有这样的情况。,,,,,,,,
A093,NarrationLine,A094,警员,如果你能在别的事上也给我一些意外的惊喜就好了。,,,,,,,,
A094,NarrationLine,A095,,短暂的惊讶过后，他看起来松了一口气？\n然后露出了一种“万事拜托了”的神情。,,,,,,,,
A095,MindLine,A096,脑海中的声音,那么他有“别的事”要拜托你？\n现在你更搞不清状况了。,,,,,,,,
A096,MindLine,A097,脑海中的声音,他沉默地、缓慢地品尝着。\n店里没有其他的客人。\n你们相顾无言。,,,,,,,,
A097,MindLine,A098,脑海中的声音,或许，你应该聊点什么？\n毕竟他先向你打招呼了。\n你们可能认识了不短的时间。\n熟客和调酒师之间\n应该聊点什么才好？,,,,,,,,
A098,MindLine,A099,脑海中的声音,“你一向不擅长在喝酒时聊天呢。”你幻想的朋友轻轻地说道，\n好像很怀念似的。,,,,,,,,
A099,MindLine,A100,脑海中的声音,忘掉吧，忘掉吧，你不能想起来。,,,,,,,,
A100,ChooseLine,,,,,,,,,,,
A101,ChoiceLine,A105,选项1,“月之节愉快？”,,,,,,,,
A102,ChoiceLine,A119,选项2,“夜景很漂亮。”,,,,,,,,
A103,ChoiceLine,A125,选项3,“最近怎么样？”,,,,,,,,
A104,ChoiceLine,A135,选项4,（保持沉默）,,,,,,,,
A105,NarrationLine,A106,警员,嗯？哦。是的。月之节愉快。,,,,,,,,
A106,MindLine,A107,脑海中的声音,他有些意外，毕竟他向你说“月之节愉快”已经是至少五分钟前的事了。\n你可真是聊天的天才。\n别担心，人们喜欢天才……\n反正有些人喜欢。,,,,,,,,
A107,NarrationLine,A108,警员,对了，您来到这里还不到一年……,,,,,,,,
A108,MindLine,A109,脑海中的声音,他意识到这里没有其他客人，\n对于一个节日来说，生意糟糕透顶。,,,,,,,,
A109,NarrationLine,A110,警员,本来呢，这是一个很热闹的节日，\n尤其是对于一间酒吧来说，毕竟这是属于酒神的节日。,,,,,,,,
A110,ChooseLine,,,,,,,,,,,
A111,ChoiceLine,A112,单选项,月之节不应该属于月神吗？,,,,,,,,
A112,NarrationLine,A113,警员,字面上来看是这样，但是与日神相对的并不是月神，而是酒神。\n于是月亮和饮酒关联起来，节日的重点也慢慢转移到了饮酒作乐，\n毕竟乌庇亚的居民总是严肃且严谨的，一个特定的放松日对大家都好。,,,,,,,,
A113,NarrationLine,A114,警员,但是今年出于一些安全考虑，今年酒神游行被取消了。,,,,,,,,
A114,ChooseLine,,,,,,,,,,,
A115,ChoiceLine,A117,选项1-a,“节日被还给了月亮。”,,,,,,,,
A116,ChoiceLine,A118,选项1-b,“你就可以放一天假了。”,,,,,,,,
A117,NarrationLine,A100,警员,也可以这么说吧。人们不去游行和饮酒，就只剩下欣赏月色了吧？,,,,,,,,
A118,NarrationLine,A100,警员,你看，也不全是坏事对吧？,,,,,,,,
A119,NarrationLine,A120,,他回过头去看向窗外，月色皎洁，城市的灯光如同地上繁星，无事发生。\n他困惑地看了片刻，才明白你指的就是这样的夜景。,,,,,,,,
A120,NarrationLine,A121,警员,是的，很漂亮。,,,,,,,,
A121,NarrationLine,A122,警员,我讨厌夜班，值夜班以前，我也喜欢乌庇亚的夜景。,,,,,,,,
A122,NarrationLine,A123,警员,但是，它还是一座很棒的城市对吧？,,,,,,,,
A123,MindLine,A124,脑海中的声音,他在问，\n但是他没有期待你给他一个答案。\n“还是”很棒的城市。\n这座城市一定是发生了什么改变。,,,,,,,,
A124,MindLine,A100,脑海中的声音,“上夜班，加班，\n加班，然后去深夜的酒吧喝酒。\n于是夜色也终有一天引人憎恨，\n总是这样。”\n原来幻想中的朋友也要加班吗？那他赶紧离开你的脑海不就可以下班了？,,,,,,,,
A125,NarrationLine,A126,警员,糟透了，托那群恐怖分子的福。,,,,,,,,
A126,NarrationLine,A127,,他仰头饮下一大口酒。他点的酒度数不低，\n你想象酒精一路高歌而下，在他的胃里烧灼，产生温暖的错觉。,,,,,,,,
A127,NarrationLine,A128,警员,乌庇亚从来没有像今天这样……过。,,,,,,,,
A128,MindLine,A129,脑海中的声音,像今天是什么样？,,,,,,,,
A129,NarrationLine,A130,警员,我们的城市是理性的造物，思想者的国度，平等的家园。,,,,,,,,
A130,MindLine,A131,脑海中的声音,他说着，像是重复一句誓言。,,,,,,,,
A131,MindLine,A132,脑海中的声音,“倘若你不是一个失忆的人，\n就会明白：世上没有这样的地方。”,,,,,,,,
A132,NarrationLine,A133,警员,我愿让它夜夜如此。,,,,,,,,
A133,MindLine,A134,脑海中的声音,他说着，像是要劝服自己深信不疑。,,,,,,,,
A134,NarrationLine,A100,,你点点头，表示对他工作的赞叹，或者是仅仅表示了同情。\n他仰头饮下一口酒，神色恢复如常。\n一位和蔼又尽责的警员。看起来是这样。,,,,,,,,
A135,NarrationLine,A136,,微妙而恰当的沉默在你们当中盘桓，直到他喝完了杯中的酒。,,,,,,,,
A136,NarrationLine,A137,警员,嗯……请再给我一杯【新月】。,,,,,,,,
A137,MindLine,A138,脑海中的声音,他犹豫了片刻，但语气很确定。\n如果你想推销新口味，\n这不是个好时机。,,,,,,,,
A138,GameLine,A139,,调酒流程,,,,,,,,
A139,MindLine,A140,脑海中的声音,很幸运，这款酒有完整且准确的配方，你按部就班，很快完成了调制。,,,,,,,,
A140,MindLine,A141,脑海中的声音,但显然你的幸运没能持续——,,,,,,,,
A141,NarrationLine,A142,,你把雪克杯中的酒液倒入杯子，\n就像一个魔术，酒液在你的眼皮子底下消失了。,,,,,,,,
A142,ChooseLine,,,,,,,,,,,
A143,ChoiceLine,A144,单选项,（搞什么鬼？）,,,,,,,,
A144,NarrationLine,A145,,你下意识地擦拭吧台和酒杯底座，没有，什么都没有，干干净净。\n客人略带疑惑地看着你。怎么办，要上酒吗？,,,,,,,,
A145,ChooseLine,,,,,,,,,,,
A146,ChoiceLine,A148,选项1,上酒,,,,,,,,
A147,ChoiceLine,A138,选项2,倒掉重来,,,,,,,,
A148,NarrationLine,A149,警员,谢谢。,Style,Utopia,HumanLoad,"0,Utopia_Police",,,,
A149,NarrationLine,A150,,他举起酒杯自然地喝了一口，你听到冰块和杯壁相碰的轻响。,,,,,,,,
A150,NarrationLine,A151,,你太过紧张，以至于没有察觉，\n刚才拿在手中看起来空无一物的酒杯，重量是盛满了酒水的正常重量。,,,,,,,,
A151,NarrationLine,A152,,新月，严格来说，新月是看不见的，即使新月时月亮仍在原处。,,,,,,,,
A152,MindLine,A153,脑海中的声音,发明这款酒品并且写下配方时，你肯定没想过这会吓坏失忆后的自己。,,,,,,,,
A153,MindLine,A154,脑海中的声音,那本“比起调酒配方更像是谜语集”的册子里，\n还有多少可笑的小把戏在等着你？\n你开始后悔当个有幽默感的人了。,,,,,,,,
A154,MindLine,A155,脑海中的声音,如果这位客人不是偏爱这款酒的味道，那么他就是为你的幽默感捧场的受众。,,,,,,,,
A155,MindLine,A156,脑海中的声音,他轻轻地晃动酒杯，\n这个动作对于酒水的味道毫无影响，\n他喜欢听冰块的声音。,,,,,,,,
A156,ChooseLine,,,,,,,,,,,
A157,ChoiceLine,A159,选项1,“你能看见‘新月’吗？”,,,,,,,,
A158,ChoiceLine,A172,选项2,“你喜欢这款酒。”,,,,,,,,
A159,NarrationLine,A160,,你轻声说道，鬼使神差一般。\n没人知道你问的是杯中酒、天上月，还是更加晦涩的、其隐喻的事物。,,,,,,,,
A160,MindLine,A161,脑海中的声音,他笑着摇了摇头。,,,,,,,,
A161,NarrationLine,A162,警员,您能让它隐形，而我只是个普通人，只能赞美和品尝。\n假设一个魔术师的能力刚好是看穿另一个魔术师的把戏，\n那不就和两个普通人没有两样了吗？,,,,,,,,
A162,MindLine,A163,脑海中的声音,他不知道，这魔术并非来源于你，\n而是这间酒馆。,,,,,,,,
A163,NarrationLine,A164,警员,您告诉我它在杯子里，我就会端起来喝下它。规则就是这样。\n老板，有时候我忍不住想，失明的人是不是也必须像这样信任他人？,,,,,,,,
A164,MindLine,A165,脑海中的声音,他显然在暗示些什么，但很遗憾，\n你不知道。,,,,,,,,
A165,ChooseLine,,,,,,,,,,,
A166,ChoiceLine,A168,选项1a,（保持沉默）,,,,,,,,
A167,ChoiceLine,A169,选项1b,“假如我给你下毒呢？”,,,,,,,,
A168,NarrationLine,A176,,你报以一个公式化的微笑，保持了适度的神秘感。,,,,,,,,
A169,NarrationLine,A170,,他愣了一下，还是毫无芥蒂地继续喝下一口酒，至少他表现得很镇定。,,,,,,,,
A170,MindLine,A171,脑海中的声音,你幻想中的朋友笑了，\n但他还是批评道：\n“噢，糟糕的笑话。”,,,,,,,,
A171,NarrationLine,A176,警员,……那我也只有喝下去才会知道了。,,,,,,,,
A172,NarrationLine,A173,警员,许多迷人的存在都是不可见的。,,,,,,,,
A173,NarrationLine,A174,警员,虽然我不知道您是怎么做到的……我喜欢这个魔术。,,,,,,,,
A174,MindLine,A175,脑海中的声音,他不知道，这魔术并非来源于你，\n而是这间酒馆。,,,,,,,,
A175,NarrationLine,A176,警员,不过，我尽量少点它，以防我因为习以为常而不再赞叹。,,,,,,,,
A176,NarrationLine,A177,,杯中的酒大概是喝完了。他抬起头，确认了墙上的挂钟。,,,,,,,,
A177,NarrationLine,A178,警员,我该走了，快到夜班的时间了。,,,,,,,,
A178,MindLine,A179,脑海中的声音,你惊讶于他准备在酒后执勤。,,,,,,,,
A179,NarrationLine,A180,警员,今晚会很忙的。,,,,,,,,
A180,MindLine,A181,脑海中的声音,他摸索着大衣口袋，\n似乎下定了决心。,,,,,,,,
A181,NarrationLine,A182,,他把酒钱，拢在手心，放在吧台上，直直地推到你面前。\n你看到了那堆货币，立即意识到那是最大的面额，<b>那是一大笔钱。</b>,,,,,,,,
A182,NarrationLine,A183,警员,这是今天的酒钱，还有下一次的定金，务必帮我留个座位，老板。,,,,,,,,
A183,MindLine,A184,脑海中的声音,那可是一大笔钱，\n足够把店里的库存喝干，\n足够让他喝进急救室、喝进坟墓里！\n除非……,,,,,,,,
A184,ChooseLine,,,,,,,,,,,
A185,ChoiceLine,A188,选项1,“你想喝些什么奢侈的名酒吗？”,,,,,,,,
A186,ChoiceLine,A189,选项2,“如你所见，这里的生意远没到需要采用预约制的地步。”,,,,,,,,
A187,ChoiceLine,A190,选项3,“这是找零。”,,,,,,,,
A188,NarrationLine,A191,,这笔数额远远超过了市面上酒水品类的价位，\n你以为他会给你购物清单，或是说出几个酒庄的名字，便于你准备。,,,,,,,,
A189,NarrationLine,A191,,你对吧台上的那笔巨款无动于衷，冷静地解释道。,,,,,,,,
A190,NarrationLine,A191,,你谨慎地从那堆亮晶晶的钱币里挑出一枚，\n以为这是个不胜酒力的小失误。,,,,,,,,
A191,NarrationLine,A192,,但事情没有这么简单。在沉默之中，你特别的客人微微皱起了眉。,,,,,,,,
A192,MindLine,A193,脑海中的声音,“终于有真正的生意上门了。”,,,,,,,,
A193,MindLine,A194,脑海中的声音,你幻想中的朋友肯定知道点什么。,,,,,,,,
A194,MindChooseLine,,,,,,,,,,,
A195,ChoiceLine,A196,（脑海选项）,拜托，给我一点提示。,,,,,,,,
A196,MindLine,A197,脑海中的声音,没有回应。你能想到，\n他伸了一个懒腰，像一只悠闲的猫。,,,,,,,,
A197,NarrationLine,A198,,已经不在原处的记忆，它们毕竟存在过，为你提供了某种直觉。\n或是出于你原本谨慎的性格，无论如何——\n你不该收下这笔钱，因为背后有个你绝对不想承接的要求。,,,,,,,,
A198,ChooseLine,,,,,,,,,,,
A199,ChoiceLine,A202,选项1,“抱歉，这超过了本店的经营范围。”,,,,,,,,
A200,ChoiceLine,A202,选项2,“……请原谅，我没明白你的意思。”,,,,,,,,
A201,ChoiceLine,A225,选项3,保持沉默，等他开口。,,,,,,,,
A202,NarrationLine,A203,,他没有要把钱收回的意思。这是个不容置否的请求。,,,,,,,,
A203,ChooseLine,,,,,,,,,,,
A204,ChoiceLine,A206,选项1,“我想，考虑到您的职业，您应该比我更清楚。”,,,,,,,,
A205,ChoiceLine,A225,选项2,保持沉默，等他开口。,,,,,,,,
A206,NarrationLine,A207,,他在想什么？你又在想什么？,,,,,,,,
A207,ChooseLine,,,,,,,,,,,
A208,ChoiceLine,A225,选项1,呃……（你真的要这么做？）,,,,,,,,
A209,ChoiceLine,A210,选项2,保持沉默，等他开口。,,,,,,,,
A210,ChooseLine,,,,,,,,,,,
A211,ChoiceLine,A212,选项,“本店不提供不合法的业务……”,,,,,,,,
A212,ChooseLine,,,,,,,,,,,
A213,ChoiceLine,A214,选项,“为什么您要如此坚持呢，我们没有那么熟悉不是吗？”,,,,,,,,
A214,ChooseLine,,,,,,,,,,,
A215,ChoiceLine,A216,选项,“……难道您迷恋的是我的身体？”,,,,,,,,
A216,NarrationLine,A217,警员,唔，咳。,,,,,,,,
A217,NarrationLine,A218,警员,咳，咳咳！,,,,,,,,
A218,NarrationLine,A219,,你语出惊人，害得他呛到了。\n所幸他没在喝酒，否则一定会把你精心调制的饮品喷到你脸上。,,,,,,,,
A219,MindLine,A220,脑海中的声音,你幻想中的朋友则是笑得够呛。,,,,,,,,
A220,NarrationLine,A221,警员,为什么会这么想、您脑子里现在装的都是什么？,,,,,,,,
A221,MindLine,A222,脑海中的声音,好消息是，\n你成功活跃了紧张的气氛。\n代价是，现在你们两个人都感觉像是遭到了对方的性骚扰。,,,,,,,,
A222,MindLine,A223,脑海中的声音,他闭上眼睛，\n很可能翻了个不可见的白眼，\n祈祷着尴尬的气氛尽快过去。,,,,,,,,
A223,MindLine,A224,脑海中的声音,为了避免鸡同鸭讲的闹剧继续上演，\n他决定开诚布公。,,,,,,,,
A224,NarrationLine,A225,警员,好吧。,,,,,,,,
A225,NarrationLine,A226,警员,关于您停业的这些天，我听说了一点传闻。,,,,,,,,
A226,NarrationLine,A227,警员,我宁愿那只是没有根据的传言。,,,,,,,,
A227,NarrationLine,A228,警员,我听说，您失去了记忆。,,,,,,,,
A228,MindLine,A229,,他停了片刻，观察你的反应。,,,,,,,,
A229,ChooseLine,,,,,,,,,,,
A230,ChoiceLine,A232,选项1,承认。,,,,,,,,
A231,ChoiceLine,A232,选项2,否认。,,,,,,,,
A232,NarrationLine,A233,,不，他没打算听取你的回答。,,,,,,,,
A233,NarrationLine,A234,警员,假设您真的失忆了，考虑到<b>您曾做过的事情</b>……会有很多人找上您，\n我们不认为您有能力处理。为了防止潜在的危险爆发成暴力事件，\n我们会移除这间酒馆。,,,,,,,,
A234,NarrationLine,A235,警员,假设您没有失忆，就是有其他的打算而不愿意合作\n——那我们也只能移除这间酒馆。,,,,,,,,
A235,NarrationLine,A236,,几乎是对你下达的判决。,,,,,,,,
A236,MindLine,A237,脑海中的声音,他用了“我们”这个词，\n所以这是官方的请求和态度，\n但没有文件的约束。,,,,,,,,
A237,MindLine,A238,脑海中的声音,那会是何种彻底的“移除”呢？,,,,,,,,
A238,ChooseLine,,,,,,,,,,,
A239,ChoiceLine,A241,选项1,答应下来。,,,,,,,,
A240,ChoiceLine,A241,选项2,只能答应下来。,,,,,,,,
A241,NarrationLine,A242,,你把那一小堆钱币收了起来。,,,,,,,,
A242,MindLine,A243,,这些钱币很新，光滑的表面几乎灼烫了你，使你难安。,,,,,,,,
A243,ChooseLine,,,,,,,,,,,
A244,ChoiceLine,A245,选项,“确认一下要求吧。”,,,,,,,,
A245,NarrationLine,A246,警员,<b>关于“黑色的弓”或是“梦旅者”，给我至少一个名字。</b>,,,,,,,,
A246,NarrationLine,A247,警员,这是两件事，可能有关系，也可能没有。,,,,,,,,
A247,NarrationLine,A248,警员,我知道您的工作有时需要一些……灵感。\n所以无论哪个都可以。\n为我提供一个线头，让我的工作能有个头绪。,,,,,,,,
A248,MindLine,A249,,看来你是一位情报商，\n既令人尊敬，又不那么光彩的那种。\n至少在失忆之前是。,,,,,,,,
A249,NarrationLine,A250,警员,下次我再来店里时，希望您已经准备好了。\n<b>酒馆的时间和乌庇亚不同，所以对您来说是充裕的。</b>,,,,,,,,
A250,NarrationLine,A251,警员,另外提醒您一句……做好您该做的，其余的最好不要问。,,,,,,,,
A251,MindLine,A252,脑海中的声音,你有点想说：什么事不要问？\n但那可能也属于不要问的范畴。,,,,,,,,
A252,MindChooseLine,,,,,,,,,,,
A253,ChoiceLine,A254,脑海选项,天呐，我真的做过这样的工作？,,,,,,,,
A254,MindLine,A255,脑海中的声音,你总觉得自己应该在出外勤，\n或者坐在办公桌前录入文书，\n做个神秘的调酒师对你来说已经有点超出了预期，更不要提——,,,,,,,,
A255,MindChooseLine,,,,,,,,,,,
A256,ChoiceLine,A257,脑海选项,等等，我之前是做什么的？,,,,,,,,
A257,MindLine,A258,脑海中的声音,不，不要问，\n忘掉吧，你不能想起来。,,,,,,,,
A258,NarrationLine,A259,警员,我该走了。下次见。,,,,,HumanUnload,0,,
A259,NarrationLine,A260,,他离开了，你从压力中得以喘息，\n正想坐下来长舒一口气，下一位客人就走了进来。,,,,,,,,
A260,MindLine,A261,,深呼吸进行到一半，你只好平缓地、慢慢地吐气，尽量不让自己的情绪表现出来。,,,,,,,,
A261,NarrationLine,A262,？？,看起来我来得不是时候，打扰您休息了吗？,HumanLoad,"0,thalen",,,,,,
A262,MindLine,A263,,哦，好吧，被他看出来了。\n你的职业素养有待提高。,,,,,,,,
A263,ChooseLine,,,,,,,,,,,
A264,ChoiceLine,A265,选项（仅1个）,“请进，正在营业中。”,,,,,,,,
A265,ChooseLine,,,,,,,,,,,
A266,ChoiceLine,A267,选项（仅1个）,“喝点什么？”,,,,,,,,
A267,NarrationLine,A268,和善的青年,一杯【尼格罗尼】,,,,,,,,
A268,MindLine,A269,脑海中的声音,一种苦涩的开胃酒。有品位的选择。\n甜味能为浓烈的风味提供一点平衡，但这仍然是一杯苦涩的酒。,,,,,,,,
A269,GameLine,A270,,调酒流程,,,,,,,,
A270,ControlLine,A271,,"正确的酒->A271, 其他的酒->A273",Style,Utopia,HumanLoad,"0,thalen",,,,
A271,NarrationLine,A272,和善的青年,谢谢。,,,,,,,,
A272,MindLine,A273,脑海中的声音,有些客人会要求换掉其中的坎帕里酒，得到一杯不那么苦的改良版，\n或者说改劣版。,,,,,,,,
A273,NarrationLine,A274,和善的青年,谢谢。,,,,,,,,
A274,MindLine,A275,脑海中的声音,“那不是尼格罗尼吧喂。”,,,,,,,,
A275,MindLine,A276,脑海中的声音,客人没说什么。\n有三种可能：他不知道什么是尼格罗尼、他以为这是本店特制改良版、\n他不在乎。\n三种可能性有着鲜明的性格，\n不知道他是哪一种。,,,,,,,,
A276,MindLine,A277,脑海中的声音,大部分时候你对客人的品味没什么、也不该有什么意见。\n只是，记住客人的风格有利于应对\n“随便给我来一杯”的情况。,,,,,,,,
A277,MindLine,A278,脑海中的声音,“随便”的意思是：我不知道自己想要什么，但你要找出我满意的。\n你怎么知道什么会让他们满意呢？,,,,,,,,
A278,MindLine,A279,脑海中的声音,你想到刚刚收下的那笔钱，\n突然明白了为什么上一位客人临走之前要点“新月”。,,,,,,,,
A279,MindLine,A280,脑海中的声音,他在找某样自己也不知道是什么的东西，因为看不到，所以必须相信你会把它装进杯子里端给他。,,,,,,,,
